lalowihalf,lakidshalf,lahunvhalf,lalowi1,lakids1,lahunv1,lalowi10,lakids10,lahunv10,lalowi20,lakids20,lahunv20,State,County,Urban,Rural
863.241797,312.0000004,42.61589384,863.241797,312.0000004,42.61589384,863.241797,312.0000004,42.61589384,1.550299873,0.154587767,0.124591541,AL,Monroe,No,Yes
870.9199712,424.0000029,18.81049929,870.9199712,424.0000029,18.81049929,870.9199712,424.0000029,18.81049929,99.89432821,44.20804443,1.610907467,AL,Monroe,No,Yes
1069.276608,361.0000025,112.1048782,1069.276608,361.0000025,112.1048782,1054.349967,351.9762588,110.5242349,8.652566845,1.233522109,0.883086132,AL,Russell,No,Yes
1258.262621,461.0000017,120.0310092,1258.262621,461.0000017,120.0310092,1228.87612,450.8409956,117.9545249,3.340577441,1.334450461,0.399563672,AL,Sumter,No,Yes
988.5121084,435.0000022,49.40226757,988.4522414,434.9781367,49.40001118,847.8561697,366.0144502,37.03093996,1.224949762,0.244751167,0.018948477,AL,Wilcox,No,Yes
1500.330612,317.6394037,141.0005239,1235.612066,229.1369953,113.4955365,699.7189612,56.0000005,61.5322859,640.0997863,35.00000039,38.42729086,AK,Aleutians East,No,Yes
476.3015744,114.1943327,84.30612939,416.2913023,78.41827745,67.16922917,396.4395171,71.99999888,62.31611583,396.3005722,71.99999888,62.24096307,AK,Aleutians West,No,Yes
396.6389027,1543.999983,10.73195455,396.6389027,1543.999983,10.73195455,11.04897598,13.66643819,0.480839786,0.559630698,1.271887933,0.060213964,AK,Anchorage,Yes,No
6029.099251,3745.999999,1950.698699,6029.099251,3745.999999,1950.698699,5571.444667,3451.31802,1799.957014,4262.876935,2667.535881,1404.959215,AK,Bethel,No,Yes
546.5140263,441.0821439,262.7966748,469.7239411,365.8914234,229.4258353,385.6677237,298.1930333,190.4325556,355.0231799,273.6544527,177.1284824,AK,Bethel,No,Yes
160.8407224,221.582054,66.07720558,145.3174644,202.8503064,58.69422217,72.21794624,91.8700424,30.7110904,0.164425539,0.054907316,0.12478847,AK,Bristol Bay,No,Yes
338.3124912,411.0000025,22.22102389,338.3124912,411.0000025,22.22102389,338.3124912,411.0000025,22.22102389,338.3124912,411.0000025,22.22102389,AK,Denali,No,Yes
1072.001907,716.1125735,349.0822206,1065.659327,713.1304394,347.6186763,799.6316647,560.0000023,283.3988545,536.2896211,414.2905324,208.1385287,AK,Dillingham,No,Yes
572.2333943,381.9999974,34.37078609,572.2333943,381.9999974,34.37078609,280.9504609,179.8044194,13.34245969,66.29553719,33.7976566,0.036265538,AK,Fairbanks North Star,No,Yes
1897.365626,2555.000009,151.2152384,1897.365626,2555.000009,151.2152384,383.6013481,668.7007413,37.23837497,29.82764597,45.66654533,8.137576827,AK,Fairbanks North Star,Yes,No
752.7521211,406.3335283,254.1370843,737.1500104,393.8235511,242.8947706,666.7664343,323.0000015,196.4777426,665.2789341,322.740471,195.7404997,AK,Hoonah-Angoon,No,Yes
154.5498008,50.00000088,10.47101468,154.5498008,50.00000088,10.47101468,154.5498008,50.00000088,10.47101468,154.53858,50.00000088,10.47087568,AK,Kenai Peninsula,No,Yes
416.5945941,254.0000001,94.03738337,416.5945941,254.0000001,94.03738337,411.6924751,253.7185978,92.41717514,186.9882781,163.1035035,32.95403617,AK,Kenai Peninsula,No,Yes
1077.91319,752.0239182,37.79265522,865.774235,612.6858927,33.18896986,5.584060782,16.56986739,0.393591741,3.054092328,10.21971471,0.18176251,AK,Kenai Peninsula,No,Yes
494.7363899,469.9999994,211.35321,494.7058498,469.9999994,211.3335234,366.0220788,254.9457381,146.3275577,303.6777603,181.2448055,105.0583832,AK,Kodiak Island,No,Yes
748.8588642,491.9999975,296.0880401,748.8588642,491.9999975,296.0880401,748.8588642,491.9999975,296.0880401,748.7083235,491.9999975,295.9456613,AK,Lake and Peninsula,No,Yes
274.7591492,106.0000005,53.89112846,274.7591492,106.0000005,53.89112846,233.955525,88.81150937,46.08893576,83.48394703,12.61894394,18.38093306,AK,Matanuska-Susitna,No,Yes
922.7737458,426.4530682,83.57166427,897.6324775,417.1736559,81.48012473,272.0340492,128.9007252,30.54219739,17.02358981,1.928582738,1.46202197,AK,Matanuska-Susitna,No,Yes
926.5311676,1671.904754,30.62194127,916.4949965,1661.460342,30.38504574,14.65024249,33.79498298,0.74661571,0.000780964,0.003028078,2.24E-05,AK,Matanuska-Susitna,No,Yes
490.8005566,440.0000003,27.56276149,490.8005566,440.0000003,27.56276149,454.8048848,414.5146138,25.29627091,10.92404674,22.82682047,0.003908234,AK,Matanuska-Susitna,No,Yes
3657.368042,2041.860912,1240.163467,3597.756655,2012.445998,1222.426169,3413.324097,1920.000016,1153.082414,3413.324097,1920.000016,1153.082414,AK,Nome,No,Yes
45.75808244,125.7339861,14.5632408,35.61016096,82.27530067,10.7124496,0.875702422,6.748980563,0.797464325,0.186289371,1.253283947,0.20417614,AK,Nome,No,Yes
798.894434,801.6181144,466.4298836,536.8178439,484.3171757,276.8272029,353.0450065,327.0000006,191.7439295,353.0450065,327.0000006,191.7439295,AK,North Slope,No,Yes
2432.213105,1618.999994,836.0926929,2432.213105,1618.999994,836.0926929,2432.213105,1618.999994,836.0926929,2432.051669,1618.947219,836.0258155,AK,Northwest Arctic,No,Yes
581.1602604,480.4741397,121.7784129,369.573584,261.3988636,83.61729772,53.88219069,46.50898388,11.68816359,18.67816215,14.93231741,4.186392994,AK,Petersburg,No,Yes
434.7723734,246.4210303,65.71762387,427.7002951,242.2463848,64.52620418,422.4087124,240.6044208,63.70380581,329.6792352,206.5323515,44.04944359,AK,Prince of Wales-Hyder,No,Yes
761.671007,499.0737024,63.10548951,691.5779384,455.7381704,58.74756021,407.625051,267.3723475,42.54978291,298.1109165,192.5676973,31.45363519,AK,Southeast Fairbanks,No,Yes
980.8321661,1243.590446,58.27718779,945.1020627,1191.077994,55.51620522,236.6858455,219.8390283,9.748984909,97.33838538,61.81781429,2.887142622,AK,Southeast Fairbanks,No,Yes
1128.77309,718.7940792,134.2640796,1037.804609,660.8157384,134.2640796,831.6813698,465.738239,109.597558,603.8027098,299.5757966,77.97799077,AK,Valdez-Cordova,No,Yes
555.6294568,756.0135339,58.86144301,431.7672748,543.2249264,52.81581886,213.337323,144.06252,28.1321435,72.67567596,46.54755689,10.43821064,AK,Valdez-Cordova,No,Yes
4567.609714,2858.196596,1314.953017,4175.150053,2630.243917,1194.80856,3289.170867,2090.373019,911.3478438,2501.981144,1626.032101,686.4845316,AK,Wade Hampton,No,Yes
436.4938757,350.5229334,75.10920668,99.18612222,190.3561911,20.94828546,51.45827709,105.576736,11.35915248,19.48374037,38.90570568,4.517531144,AK,Wrangell,No,Yes
682.795278,358.0000002,373.3391775,682.795278,358.0000002,373.3391775,682.795278,358.0000002,373.3391775,682.795278,358.0000002,373.3391775,AK,Yukon-Koyukuk,No,Yes
558.2908535,355.0000009,141.87338,558.2908535,355.0000009,141.87338,558.2908535,355.0000009,141.87338,558.2908535,355.0000009,141.87338,AK,Yukon-Koyukuk,No,Yes
993.1772156,528.0000012,374.3270204,993.1772156,528.0000012,374.3270204,993.1772156,528.0000012,374.3270204,993.1772156,528.0000012,374.3270204,AK,Yukon-Koyukuk,No,Yes
564.6999901,310.9999992,222.9117936,564.6999901,310.9999992,222.9117936,564.6999901,310.9999992,222.9117936,564.6999901,310.9999992,222.9117936,AK,Yukon-Koyukuk,No,Yes
1184.454288,531.0000047,30.77215199,1184.454288,531.0000047,30.77215199,1184.454288,531.0000047,30.77215199,1090.406017,499.6344224,28.24950544,AZ,Apache,No,Yes
3800.425857,1867.000005,242.8436001,3800.425857,1867.000005,242.8436001,3800.425857,1867.000005,242.8436001,3786.775991,1865.95412,241.4344431,AZ,Apache,No,Yes
3753.156032,1976.999988,216.2625196,3753.156032,1976.999988,216.2625196,1371.40766,506.5952425,112.8498407,190.339524,55.99999962,20.15933673,AZ,Apache,No,Yes
4432.538161,2076.999994,311.8899082,4432.538161,2076.999994,311.8899082,4431.156037,2076.840749,311.5666887,4300.793064,2021.710023,293.3428874,AZ,Apache,No,Yes
5365.736991,2463.000001,425.6025651,5365.736991,2463.000001,425.6025651,5244.816905,2417.370936,417.8806578,914.844842,349.1085772,83.69814803,AZ,Apache,No,Yes
2910.685096,1403.000013,172.2057664,2910.685096,1403.000013,172.2057664,2884.130675,1394.000013,169.8330934,2466.672658,1245.194102,124.7465198,AZ,Apache,No,Yes
3666.030843,1497.999999,417.6402756,3666.030843,1497.999999,417.6402756,3666.030843,1497.999999,417.6402756,3475.838943,1434.297687,394.3068222,AZ,Apache,No,Yes
2558.565751,1153.822543,337.3036655,2537.204248,1145.858003,335.5157195,1770.618428,819.338273,269.0238618,1538.106738,696.8517414,227.5860741,AZ,Apache,No,Yes
1564.894499,774.9999954,80.13646899,1564.894499,774.9999954,80.13646899,1564.894499,774.9999954,80.13646899,1564.894499,774.9999954,80.13646899,AZ,Apache,No,Yes
2045.143726,943.5794718,38.71685526,1942.462059,809.0290378,30.83864828,1780.278871,657.6875557,24.50748334,180.3575775,68.05969357,2.619231098,AZ,Apache,No,Yes
1276.258815,721.7838456,67.95491963,723.6366237,397.1587918,31.79871218,143.7429637,15.64490087,0.72094028,0.095133598,0.032845848,0.003585512,AZ,Apache,No,Yes
825.8594221,366.000001,20.57986585,825.8594221,366.000001,20.57986585,799.7206342,352.0000002,20.04564616,675.1996352,315.1842706,17.0727495,AZ,Cochise,No,Yes
1316.474888,383.0000028,73.17752405,1316.474888,383.0000028,73.17752405,1302.406098,374.5196145,72.31070924,671.4482487,149.012373,33.79376833,AZ,Cochise,No,Yes
1463.742528,738.9999999,67.73007476,1456.108877,738.0396111,66.41096195,127.2795528,33.48859248,3.358241021,44.91529611,6.649731033,1.350683748,AZ,Cochise,No,Yes
1108.921312,293.0000024,90.28225854,1108.921312,293.0000024,90.28225854,1089.072375,285.9421247,88.90686561,109.3726451,12.62762903,7.349393176,AZ,Cochise,No,Yes
2771.096646,648.000001,35.22565678,2770.95892,647.8391787,35.22193117,1176.687552,552.6381393,28.5611515,724.7075248,318.0206721,17.66915993,AZ,Cochise,No,Yes
983.347064,462.9999999,42.90648011,983.347064,462.9999999,42.90648011,628.1793398,139.4534357,26.21315127,314.4994471,32.063853,6.740571574,AZ,Coconino,No,Yes
623.5105648,427.0000054,36.58309855,623.5105648,427.0000054,36.58309855,47.18378045,7.970772309,8.205089195,21.67201073,7.135810529,3.293443982,AZ,Coconino,No,Yes
2178.934493,1587.467409,113.6801524,2178.402878,1585.999994,113.6492133,702.0055796,272.5073601,37.24455303,411.0463582,157.0186139,21.82746338,AZ,Coconino,No,Yes
2392.110656,1039.475252,162.5325305,1955.216821,899.704578,133.0921327,1209.708696,559.9742804,97.40434485,235.3232466,164.6837369,51.88818418,AZ,Coconino,No,Yes
2401.059054,1367.999991,144.9744976,2400.95079,1367.999991,144.9439793,1527.424648,759.9621398,117.914335,752.4587779,387.2672917,58.40410625,AZ,Coconino,No,Yes
2273.18361,1432.999996,165.9620865,2273.18361,1432.999996,165.9620865,2265.606759,1431.336863,164.9229918,933.3534243,619.2478771,86.20538487,AZ,Coconino,No,Yes
2562.20541,1378.999994,122.7244607,2562.20541,1378.999994,122.7244607,1720.427985,819.0260471,79.69931847,947.515126,426.7508552,47.39497764,AZ,Coconino,No,Yes
2809.626168,1128.000004,184.996386,2809.626168,1128.000004,184.996386,2703.123592,1091.299982,171.4232942,2009.733561,809.8245072,108.1512511,AZ,Coconino,No,Yes
700.9616563,280.9999998,24.37125698,700.9616563,280.9999998,24.37125698,522.1906883,213.3324994,24.37125698,249.8677873,107.9707313,20.96920929,AZ,Gila,No,Yes
704.7106689,198.0000024,56.13595626,704.7106689,198.0000024,56.13595626,216.2584085,46.52126049,20.54708378,6.097268774,1.669759303,0.396899564,AZ,Gila,No,Yes
1622.802643,600.0000038,66.07070706,1622.783833,600.0000038,66.06969204,435.1973657,164.9999966,17.84848434,127.6578963,36.00000068,5.636363705,AZ,Gila,No,Yes
3180.036251,1703.662774,192.0397252,2375.716327,1304.331746,129.2824518,42.74774889,16.51927721,1.786671678,3.099538324,1.314337556,0.336622414,AZ,Gila,No,Yes
3640.626955,1888.192161,263.0879366,3636.049002,1885.545252,262.7592749,1688.953659,785.9999981,148.5183017,1682.462707,785.1040957,147.4066397,AZ,Graham,No,Yes
1671.910801,1394.999997,72.09789953,1671.910801,1394.999997,72.09789953,325.897751,187.3766624,12.53545568,18.10916792,7.998909376,0.570915968,AZ,Graham,Yes,No
319.3061508,233.0000001,26.99999996,319.3061508,233.0000001,26.99999996,144.8326003,82.43355037,13.93074708,51.10753914,17.46276941,5.310464754,AZ,Graham,No,Yes
1528.011845,784.9999909,101.8283324,1528.011845,784.9999909,101.8283324,57.45586367,16.2594153,2.875599373,19.2277535,1.830763084,1.080524453,AZ,Greenlee,No,Yes
1140.615197,667.0000036,69.46507568,1140.615197,667.0000036,69.46507568,1140.615197,667.0000036,69.46507568,776.0579841,451.6975346,55.4152567,AZ,Greenlee,No,Yes
1380.55628,436.8663208,37.70586083,1375.220919,433.7865301,37.50660206,231.6023175,29.9999995,22.88490143,133.1353627,17.5834592,13.66737692,AZ,La Paz,No,Yes
944.26863,163.9999997,47.0583034,944.26863,163.9999997,47.0583034,839.2723674,109.5107438,43.50127237,252.3154421,46.88293226,14.25034745,AZ,La Paz,No,Yes
1804.714063,296.9999968,60.49134492,1804.714063,296.9999968,60.49134492,1804.714063,296.9999968,60.49134492,1599.389307,256.5862888,60.49134492,AZ,La Paz,No,Yes
662.2319398,366.9999988,251.8466473,662.2319398,366.9999988,251.8466473,84.76363484,40.99999928,35.73134257,7.196088642,2.216598643,3.113536539,AZ,La Paz,No,Yes
1670.114938,1396,59.35853718,1670.114938,1396,59.35853718,1666.590813,1396,59.07965096,501.2361968,442.8302306,20.3114617,AZ,Maricopa,No,Yes
1252.840979,550.5343594,88.16833281,634.0183908,277.9171273,49.86657998,178.6922357,85.34050701,13.31927197,31.23966734,11.25530585,2.849589265,AZ,Maricopa,No,Yes
681.6269605,252.0000022,66.23076943,681.6269605,252.0000022,66.23076943,681.6269605,252.0000022,66.23076943,681.3764513,251.7530845,66.17378843,AZ,Mohave,No,Yes
1409.522112,437.0000016,8.934753586,1409.522112,437.0000016,8.934753586,1391.098292,420.5245769,8.671825027,675.0355461,156.1943501,3.4542225,AZ,Mohave,No,Yes
612.0634931,265.0000023,52.74104199,612.0634931,265.0000023,52.74104199,366.3618327,79.52317894,34.13748194,35.60875567,3.639583702,4.079119621,AZ,Mohave,No,Yes
2983.583052,715.9999984,71.37498651,2983.583052,715.9999984,71.37498651,2271.949503,419.2306762,50.78298572,512.4066903,145.1304583,11.60093156,AZ,Mohave,No,Yes
815.0500683,408.9999971,94.24999969,815.0500683,408.9999971,94.24999969,787.8579603,396.257284,91.7854322,51.97902958,15.30003258,6.436701823,AZ,Navajo,No,Yes
1868.397718,945.4950559,145.1192318,1593.482007,777.8784393,123.0422693,471.7890141,218.452394,40.13365461,18.22317696,7.482563814,1.145655701,AZ,Navajo,No,Yes
2146.417161,1367,278.5518629,2146.417161,1367,278.5518629,1778.091847,1070.128203,225.3490109,732.6867593,342.5642651,77.43884872,AZ,Navajo,No,Yes
1814.938656,867.9999977,138.4996306,1814.938656,867.9999977,138.4996306,1814.938656,867.9999977,138.4996306,1012.386623,511.6457903,78.06231202,AZ,Navajo,No,Yes
2455.933184,1136.356341,213.0265036,2134.266489,952.2122709,189.5254979,966.0806343,450.4578772,85.18529697,11.19647062,5.340222246,1.573563078,AZ,Navajo,No,Yes
2777.805529,1525.000001,168.4188151,2777.798152,1524.996344,168.4181832,1518.380877,691.0015591,76.34233211,1498.579624,678.3662827,75.10330097,AZ,Navajo,No,Yes
1455.027185,764.0000039,133.9030015,1455.027185,764.0000039,133.9030015,1455.027185,764.0000039,133.9030015,1174.619163,640.3996662,104.1480029,AZ,Navajo,No,Yes
